reactionmeddrapt,count
Off label use,27820
Drug ineffective,22367
Product dose omission issue,17519
Fatigue,16036
Diarrhoea,15160
Nausea,14984
Death,13243
Headache,12185
Pruritus,11689
Dyspnoea,10902
Pain,10588
Rash,10469
Condition aggravated,10387
Arthralgia,10281
Vomiting,9953
Inappropriate schedule of product administration,9148
Dizziness,8820
Injection site pain,8613
Product use in unapproved indication,7855
Malaise,7837
Incorrect dose administered,7579
Pneumonia,7482
Pyrexia,7266
Asthenia,7088
Cough,6910
